Fri Apr  9 17:43:06 2021    output.dat

         18268543 function calls (18136215 primitive calls) in 131.616 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      958    0.001    0.000    0.002    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:458(check_if_attracted)
      944    0.001    0.000    0.001    0.000 <string>:1(__new__)
      909    0.001    0.000    0.011    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\tile_types.py:34(new_tile)
      866    0.010    0.000  101.333    0.117 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\event.py:722(wait)
      805    0.002    0.000    0.010    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\tile_types.py:202(floor_desert)
      782    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_console_get_width}
      765    0.001    0.000    0.001    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\console.py:185(width)
      755    0.014    0.000    0.030    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\map.py:173(compute_fov)
      755    0.007    0.000    0.007    0.000 {built-in method tcod._libtcod.TCOD_map_compute_fov}
      755    0.028    0.000    0.028    0.000 {method '__copy__' of 'numpy.ndarray' objects}
      721    0.001    0.000    0.001    0.000 {method 'capitalize' of 'str' objects}
      711    0.001    0.000    0.001    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\room_factories.py:119(outer)
      694    0.008    0.000    0.013    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\event.py:234(__init__)
      694    0.011    0.000    0.024    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\event.py:243(from_sdl_event)
      673  100.081    0.149  100.081    0.149 {built-in method tcod._libtcod.SDL_WaitEvent}
      651    0.000    0.000    0.000    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\core\multiarray.py:311(where)
      651    0.001    0.000    0.015    0.000 <__array_function__ internals>:2(where)
      640    0.001    0.000    0.021    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\tile_types.py:155(vintronium)
      635    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
      628    0.000    0.000    0.000    0.000 {method 'clear' of 'set' objects}
      627    0.004    0.000    0.006    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\path.py:327(_export_dict)
      627    0.000    0.000    0.002    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\path.py:593(<genexpr>)
      627    0.000    0.000    0.000    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\path.py:907(<genexpr>)
      627    0.000    0.000    0.000    0.000 {method 'cast' of 'CompiledFFI' objects}
      615    0.001    0.000    0.002    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\room_factories.py:111(__init__)
      610    0.005    0.000    1.763    0.003 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:394(target_semiactor_bump)
