Fri Apr  9 17:43:06 2021    output.dat

         18268543 function calls (18136215 primitive calls) in 131.616 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7774    0.005    0.000    0.020    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:263(<genexpr>)
     1130    0.005    0.000    0.008    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\camera.py:71(adjust)
     1458    0.005    0.000    0.057    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\core\numeric.py:268(full)
     4496    0.005    0.000    0.005    0.000 {built-in method tcod._libtcod.TCOD_console_draw_rect_rgb}
    16662    0.005    0.000    0.005    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:101(char)
      420    0.005    0.000    0.009    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\equipable.py:152(changed_status)
     9856    0.005    0.000    0.005    0.000 {method 'splitlines' of 'str' objects}
      610    0.005    0.000    1.763    0.003 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:394(target_semiactor_bump)
    19712    0.005    0.000    0.005    0.000 {method 'strip' of 'str' objects}
     3001    0.005    0.000    0.005    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\room_factories.py:11(__init__)
     1124    0.005    0.000    0.008    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\function_base.py:671(<listcomp>)
     7005    0.004    0.000    0.004    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:592(fg)
      627    0.004    0.000    0.006    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\path.py:327(_export_dict)
      222    0.004    0.000    0.011    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\experience.py:191(gain_agility_exp)
    13714    0.004    0.000    0.004    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:586(set_revenge_target)
      968    0.004    0.000    0.004    0.000 {method 'from_buffer' of 'CompiledFFI' objects}
1369/1174    0.004    0.000    0.039    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:210(<listcomp>)
     1154    0.004    0.000    0.014    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\console.py:269(tiles_rgb)
     1124    0.004    0.000    0.009    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:90(render_character_name)
     6426    0.004    0.000    0.011    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\core\_asarray.py:14(asarray)
     1204    0.003    0.000    0.010    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\room_factories.py:271(__init__)
      341    0.003    0.000    0.008    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\event.py:537(from_sdl_event)
     2543    0.003    0.000    0.003    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:372(dest_xy)
    11370    0.003    0.000    0.003    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:119(<genexpr>)
     1124    0.003    0.000    0.006    0.000 <__array_function__ internals>:2(result_type)
     2299    0.003    0.000    0.003    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\core\_internal.py:249(__init__)
     1418    0.003    0.000    0.033    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:66(copy)
     1124    0.003    0.000    0.308    0.000 <__array_function__ internals>:2(select)
    12077    0.003    0.000    0.003    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:105(fg)
     3351    0.003    0.000    0.003    0.000 {method '__reduce_ex__' of 'object' objects}
       85    0.003    0.000    0.006    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\random.py:293(shuffle)
     9856    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
     1124    0.003    0.000    6.664    0.006 c:\Users\user\Desktop\Geophyte_prealpha\src\input_handlers.py:97(handle_action)
     4448    0.003    0.000    0.003    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:25(engine)
     6427    0.003    0.000    0.003    0.000 {built-in method _bisect.bisect_right}
      209    0.003    0.000    0.034    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\path.py:588(_world_array)
     3790    0.003    0.000    0.004    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\function_base.py:244(iterable)
    13672    0.003    0.000    0.003    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:340(perform)
     1124    0.003    0.000    5.862    0.005 c:\Users\user\Desktop\Geophyte_prealpha\src\input_handlers.py:156(on_render)
      209    0.003    0.000    0.052    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\path.py:1054(__init__)
      209    0.003    0.000    0.047    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\path.py:1120(__init__)
